Title,Platform,Year,Price (original),Etiqueta,Discount %,Price (discount),Category,Publisher,PEGI,PEGI content descriptors
Wii Sports,Wii,2006,"19.99",,,,Sports,Nintendo,7,
Super Mario Bros.,NES,1985,"14.99",,,,Platform,Nintendo,7,
Mario Kart Wii,Wii,2008,"9.99",,,,Racing,Nintendo,7,
Wii Sports Resort,Wii,2009,"9.99",,,,Sports,Nintendo,7,
Pokemon Red/Pokemon Blue,GB,1996,"29.99",,,,Role-Playing,Nintendo,7,
Tetris,GB,1989,"4.99",,,,Puzzle,Nintendo,7,
New Super Mario Bros.,DS,2006,"14.99",,,,Platform,Nintendo,7,
Wii Play,Wii,2006,"6.99",PACK 2,,,Misc,Nintendo,7,
New Super Mario Bros. Wii,Wii,2009,"9.99",,,,Platform,Nintendo,7,
Duck Hunt,NES,1984,"3.95",,,,Shooter,Nintendo,12,non-realistic violence
Nintendogs,DS,2005,"29.99",PACK 2,,,Simulation,Nintendo,3,suitable for kids
Mario Kart DS,DS,2005,"19.99",,,,Racing,Nintendo,7,
Pokemon Gold/Pokemon Silver,GB,1999,"24.99",,,,Role-Playing,Nintendo,7,
Wii Fit,Wii,2007,"9.99",,,,Sports,Nintendo,3,suitable for kids
Wii Fit Plus,Wii,2009,"8.99",PACK 2,,,Sports,Nintendo,3,suitable for kids
Kinect Adventures!,X360,2010,"12.99",,,,Misc,Microsoft Game Studios,7,
Grand Theft Auto V,PS3,2013,"24.99",,,,Action,Take-Two Interactive,18,extreme violence
Grand Theft Auto: San Andreas,PS2,2004,"24.99",SUPER,10,"  22.49  ",Action,Take-Two Interactive,18,extreme violence
Super Mario World,SNES,1990,"49.99",SUPER,10,"  44.99   ",Platform,Nintendo,7,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,"8.99",,,,Misc,Nintendo,3,suitable for kids
Pokemon Diamond/Pokemon Pearl,DS,2006,"12.99",,,,Role-Playing,Nintendo,7,
Super Mario Land,GB,1989,"14.99",,,,Platform,Nintendo,7,
Super Mario Bros. 3,NES,1988,"29.99",SUPER,10,"  26.99   ",Platform,Nintendo,7,
Grand Theft Auto V,X360,2013,"19.99",,,,Action,Take-Two Interactive,18,extreme violence
Grand Theft Auto: Vice City,PS2,2002,"11.99",,,,Action,Take-Two Interactive,18,extreme violence
Pokemon Ruby/Pokemon Sapphire,GBA,2002,"14.99",,,,Role-Playing,Nintendo,12,non-realistic violence
Pokemon Black/Pokemon White,DS,2010,"14.99",,,,Role-Playing,Nintendo,12,non-realistic violence
Brain Age 2: More Training in Minutes a Day,DS,2005,"12.99",SUPER,10,"  11.69   ",Puzzle,Nintendo,3,suitable for kids
Gran Turismo 3: A-Spec,PS2,2001,"29.99",,,,Racing,Sony Computer Entertainment,12,non-realistic violence
Call of Duty: Modern Warfare 3,X360,2011,"44.99",,,,Shooter,Activision,16,realistic violence
Pokémon Yellow: Special Pikachu Edition,GB,1998,"12.99",,,,Role-Playing,Nintendo,12,non-realistic violence
Call of Duty: Black Ops,X360,2010,"19.95",PACK 2,,,Shooter,Activision,12,non-realistic violence
Pokemon X/Pokemon Y,3DS,2013,"14.99",,,,Role-Playing,Nintendo,7,
Call of Duty: Black Ops 3,PS4,2015,"39.99",,,,Shooter,Activision,16,realistic violence
Call of Duty: Black Ops II,PS3,2012,"29.99",,,,Shooter,Activision,16,realistic violence
Call of Duty: Black Ops II,X360,2012,"29.99",MEGA,20,"  23.99   ",Shooter,Activision,16,realistic violence
Call of Duty: Modern Warfare 2,X360,2009,"19.99",,,,Shooter,Activision,16,realistic violence
Call of Duty: Modern Warfare 3,PS3,2011,"29.99",SUPER,10,"  26.99   ",Shooter,Activision,16,realistic violence
Grand Theft Auto III,PS2,2001,"39.99",,,,Action,Take-Two Interactive,18,extreme violence
Super Smash Bros. Brawl,Wii,2008,"34.99",SUPER,10,"  31.49   ",Fighting,Nintendo,7,
Call of Duty: Black Ops,PS3,2010,"34.99",,,,Shooter,Activision,16,realistic violence
Animal Crossing: Wild World,DS,2005,"29.99",,,,Simulation,Nintendo,3,suitable for kids
Mario Kart 7,3DS,2011,"19.99",,,,Racing,Nintendo,7,
Halo 3,X360,2007,"49.99",PACK 2,,,Shooter,Microsoft Game Studios,12,non-realistic violence
Grand Theft Auto V,PS4,2014,"34.95",,,,Action,Take-Two Interactive,16,realistic violence
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,"19.99",MEGA,20,"  15.99   ",Action,Nintendo,7,
Super Mario 64,N64,1996,"19.95",,,,Platform,Nintendo,7,
Gran Turismo 4,PS2,2004,"11.99",,,,Racing,Sony Computer Entertainment,12,non-realistic violence
Super Mario Galaxy,Wii,2007,"12.99",,,,Platform,Nintendo,7,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,"29.99",,,,Role-Playing,Nintendo,7,
Super Mario Land 2: 6 Golden Coins,GB,1992,"39.95",,,,Adventure,Nintendo,7,
Grand Theft Auto IV,X360,2008,"24.99",MEGA,20,"  19.99   ",Action,Take-Two Interactive,12,non-realistic violence
Gran Turismo,PS,1997,"39.99",,,,Racing,Sony Computer Entertainment,12,non-realistic violence
Super Mario 3D Land,3DS,2011,"28.95",,,,Platform,Nintendo,7,
Gran Turismo 5,PS3,2010,"23.95",,,,Racing,Sony Computer Entertainment,7,
Call of Duty: Modern Warfare 2,PS3,2009,"35.99",PACK 2,,,Shooter,Activision,16,realistic violence
Grand Theft Auto IV,PS3,2008,"34.99",,,,Action,Take-Two Interactive,12,non-realistic violence
